id,symbol,name,publisher,instrument_class,currency,exchange,mic,asset,security_type,min_lot_size,expiration,max_price_variation,unit_of_measure_qty,min_price_increment,display_factor,price_display_format,price_ratio REAL,underlying_symbol,maturity_year,maturity_month,maturity_day,group,tick_rule,strike_price,strike_price_currency
10098,BAC,BANK OF AMERICA CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Banks,,,
2006458,BAP,CREDICORP LTD,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Banks,,,
4704,AWF,ALLIANCEBERNSTEIN GL HI INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,,,,
5082651,DCH,DAUCH CORPORATION,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Auto Parts&amp;Equipment,,,
4724,AXR,AMREP CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Real Estate,,,
4815,BBVA,BANCO BILBAO VIZCAYA-SP ADR,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Banks,,,
4817,BBY,BEST BUY CO INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Retail,,,
4820,BC,BRUNSWICK CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Leisure Time,,,
4839,BCH,BANCO DE CHILE-ADR,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Banks,,,
4854,BCS,BARCLAYS PLC-SPONS ADR,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Banks,,,
4886,BDX,BECTON DICKINSON AND CO,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Pharmaceuticals,,,
4901,VZ,VERIZON COMMUNICATIONS INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Telecommunications,,,
4906,BEN,FRANKLIN RESOURCES INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Diversified Finan Serv,,,
4926,BF A,BROWN-FORMAN CORP-CLASS A,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Beverages,,,
4931,BF B,BROWN-FORMAN CORP-CLASS B,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Beverages,,,
4946,BFS,SAUL CENTERS INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,REITS,,,
5052,BALL,BALL CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Packaging&amp;Containers,,,
