conid,ticker,currency,listingExchange,countryCode,name,assetClass,group,sector,sectorGroup,type,hasOptions,fullName
1714996,COR,USD,NYSE,US,CENCORA INC,STK,Pharmaceuticals,"Consumer, Non-cyclical",Medical-Whsle Drug Dist,COMMON,true,COR
272997,COST,USD,NASDAQ,US,COSTCO WHOLESALE CORP,STK,Retail,"Consumer, Cyclical",Retail-Discount,COMMON,true,COST
691994611,CPAY,USD,NYSE,US,CORPAY INC,STK,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,COMMON,true,CPAY
5980,CPB,USD,NASDAQ,US,THE CAMPBELL'S COMPANY,STK,Food,"Consumer, Non-cyclical",Food-Misc/Diversified,COMMON,true,CPB
4728523,CPRT,USD,NASDAQ,US,COPART INC,STK,Distribution/Wholesale,"Consumer, Cyclical",Distribution/Wholesale,COMMON,true,CPRT
6004,CPT,USD,NYSE,US,CAMDEN PROPERTY TRUST,STK,REITS,Financial,REITS-Apartments,REIT,true,CPT
655276609,CRH,USD,NYSE,US,CRH PLC,STK,Building Materials,Industrial,Bldg Prod-Cement/Aggreg,COMMON,true,CRH
2730877,CRL,USD,NYSE,US,CHARLES RIVER LABORATORIES,STK,Healthcare-Services,"Consumer, Non-cyclical",Medical Labs&amp;Testing Srv,COMMON,true,CRL
29624264,CRM,USD,NYSE,US,SALESFORCE INC,STK,Software,Technology,Enterprise Software/Serv,COMMON,true,CRM
370757467,CRWD,USD,NASDAQ,US,CROWDSTRIKE HOLDINGS INC - A,STK,Computers,Technology,Computer Data Security,COMMON,true,CRWD
268084,CSCO,USD,NASDAQ,US,CISCO SYSTEMS INC,STK,Telecommunications,Communications,Networking Products,COMMON,true,CSCO
6726677,CSGP,USD,NASDAQ,US,COSTAR GROUP INC,STK,Real Estate,Financial,Real Estate Mgmnt/Servic,COMMON,true,CSGP
6150,CSX,USD,NASDAQ,US,CSX CORP,STK,Transportation,Industrial,Transport-Rail,COMMON,true,CSX
268149,CTAS,USD,NASDAQ,US,CINTAS CORP,STK,Commercial Services,"Consumer, Non-cyclical",Commercial Services,COMMON,true,CTAS
4728759,CTSH,USD,NASDAQ,US,COGNIZANT TECH SOLUTIONS-A,STK,Computers,Technology,Computer Services,COMMON,true,CTSH
366239371,CTVA,USD,NYSE,US,CORTEVA INC,STK,Biotechnology,"Consumer, Non-cyclical",Agricultural Biotech,COMMON,true,CTVA
274144952,CVNA,USD,NYSE,US,CARVANA CO,STK,Retail,"Consumer, Cyclical",Retail-Automobile,COMMON,true,CVNA
2585769,CVS,USD,NYSE,US,CVS HEALTH CORP,STK,Pharmaceuticals,"Consumer, Non-cyclical",Pharmacy Services,COMMON,true,CVS
5684,CVX,USD,NYSE,US,CHEVRON CORP,STK,Oil&amp;Gas,Energy,Oil Comp-Integrated,COMMON,true,CVX
6327,D,USD,NYSE,US,DOMINION ENERGY INC,STK,Electric,Utilities,Electric-Integrated,COMMON,true,D
44001820,DAL,USD,NYSE,US,DELTA AIR LINES INC.,STK,Airlines,"Consumer, Cyclical",Airlines,COMMON,true,DAL
459309417,DASH,USD,NASDAQ,US,DOORDASH INC - A,STK,Internet,Communications,E-Commerce/Services,COMMON,true,DASH
365921621,DD,USD,NYSE,US,DUPONT DE NEMOURS INC,STK,Chemicals,Basic Materials,Chemicals-Diversified,COMMON,true,DD
383858515,DDOG,USD,NASDAQ,US,DATADOG INC - CLASS A,STK,Software,Technology,Computer Software,COMMON,true,DDOG
6393,DE,USD,NYSE,US,DEERE & CO,STK,Machinery-Diversified,Industrial,Machinery-Farm,COMMON,true,DE
268376,DECK,USD,NYSE,US,DECKERS OUTDOOR CORP,STK,Apparel,"Consumer, Cyclical",Apparel Manufacturers,COMMON,true,DECK
346218218,DELL,USD,NYSE,US,DELL TECHNOLOGIES -C,STK,Computers,Technology,Computers,COMMON,true,DELL
70212228,DG,USD,NYSE,US,DOLLAR GENERAL CORP,STK,Retail,"Consumer, Cyclical",Retail-Discount,COMMON,true,DG
2459465,DGX,USD,NYSE,US,QUEST DIAGNOSTICS INC,STK,Healthcare-Services,"Consumer, Non-cyclical",Medical Labs&amp;Testing Srv,COMMON,true,DGX
268627,DHI,USD,NYSE,US,DR HORTON INC,STK,Home Builders,"Consumer, Cyclical",Bldg-Residential/Commer,COMMON,true,DHI
6442,DHR,USD,NYSE,US,DANAHER CORP,STK,Healthcare-Products,"Consumer, Non-cyclical",Diagnostic Equipment,COMMON,true,DHR
6459,DIS,USD,NYSE,US,WALT DISNEY CO/THE,STK,Media,Communications,Multimedia,COMMON,true,DIS
31832526,DLR,USD,NYSE,US,DIGITAL REALTY TRUST INC.,STK,REITS,Financial,REITS-Diversified,REIT,true,DLR
49388062,DLTR,USD,NASDAQ,US,DOLLAR TREE INC,STK,Retail,"Consumer, Cyclical",Retail-Discount,COMMON,true,DLTR
389700396,DOC,USD,NYSE,US,HEALTHPEAK PROPERTIES INC,STK,REITS,Financial,REITS-Health Care,REIT,true,DOC
6517,DOV,USD,NYSE,US,DOVER CORP,STK,Machinery-Diversified,Industrial,Machinery-Pumps,COMMON,true,DOV
356576040,DOW,USD,NYSE,US,DOW INC,STK,Chemicals,Basic Materials,Chemicals-Diversified,COMMON,true,DOW
29831612,DPZ,USD,NASDAQ,US,DOMINO'S PIZZA INC,STK,Retail,"Consumer, Cyclical",Retail-Restaurants,COMMON,true,DPZ
661440,DRI,USD,NYSE,US,DARDEN RESTAURANTS INC,STK,Retail,"Consumer, Cyclical",Retail-Restaurants,COMMON,true,DRI
6585,DTE,USD,NYSE,US,DTE ENERGY COMPANY,STK,Electric,Utilities,Electric-Integrated,COMMON,true,DTE
110176011,DUK,USD,NYSE,US,DUKE ENERGY CORP,STK,Electric,Utilities,Electric-Integrated,COMMON,true,DUK
1035459,DVA,USD,NYSE,US,DAVITA INC,STK,Healthcare-Services,"Consumer, Non-cyclical",Dialysis Centers,COMMON,true,DVA
754442,DVN,USD,NYSE,US,DEVON ENERGY CORP,STK,Oil&amp;Gas,Energy,Oil Comp-Explor&amp;Prodtn,COMMON,true,DVN
33837089,DXCM,USD,NASDAQ,US,DEXCOM INC,STK,Pharmaceuticals,"Consumer, Non-cyclical",Drug Delivery Systems,COMMON,true,DXCM
268995,EA,USD,NASDAQ,US,ELECTRONIC ARTS INC,STK,Software,Technology,Entertainment Software,COMMON,true,EA
4347086,EBAY,USD,NASDAQ,US,EBAY INC,STK,Internet,Communications,E-Commerce/Products,COMMON,true,EBAY
6682,ECL,USD,NYSE,US,ECOLAB INC,STK,Chemicals,Basic Materials,Chemicals-Specialty,COMMON,true,ECL
6691,ED,USD,NYSE,US,CONSOLIDATED EDISON INC,STK,Electric,Utilities,Electric-Distribution,COMMON,true,ED
6735,EFX,USD,NYSE,US,EQUIFAX INC,STK,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,COMMON,true,EFX
6477725,EG,USD,NYSE,US,EVEREST GROUP LTD,STK,Insurance,Financial,Reinsurance,COMMON,true,EG
11899,EIX,USD,NYSE,US,EDISON INTL,STK,Electric,Utilities,Electric-Integrated,COMMON,true,EIX
1448477,EL,USD,NYSE,US,ESTEE LAUDER COMPANIES-CL A,STK,Cosmetics/Personal Care,"Consumer, Non-cyclical",Cosmetics&amp;Toiletries,COMMON,true,EL
173962302,ELV,USD,NYSE,US,ELEVANCE HEALTH INC,STK,Healthcare-Services,"Consumer, Non-cyclical",Medical-HMO,COMMON,true,ELV
6820,EME,USD,NYSE,US,EMCOR GROUP INC,STK,Engineering&amp;Construction,Industrial,Building&amp;Construct-Misc,COMMON,true,EME
6842,EMR,USD,NYSE,US,EMERSON ELECTRIC CO,STK,Electrical Compo&amp;Equip,Industrial,Electric Products-Misc,COMMON,true,EMR
6890,EOG,USD,NYSE,US,EOG RESOURCES INC,STK,Oil&amp;Gas,Energy,Oil Comp-Explor&amp;Prodtn,COMMON,true,EOG
101898880,EPAM,USD,NYSE,US,EPAM SYSTEMS INC,STK,Computers,Technology,Computer Services,COMMON,true,EPAM
181764593,EQIX,USD,NASDAQ,US,EQUINIX INC,STK,REITS,Financial,REITS-Diversified,REIT,true,EQIX
6917,EQR,USD,NYSE,US,EQUITY RESIDENTIAL,STK,REITS,Financial,REITS-Apartments,REIT,true,EQR
57698865,EQT,USD,NYSE,US,EQT CORP,STK,Oil&amp;Gas,Energy,Oil Comp-Explor&amp;Prodtn,COMMON,true,EQT
4730254,ERIE,USD,NASDAQ,US,ERIE INDEMNITY COMPANY-CL A,STK,Insurance,Financial,Property/Casualty Ins,COMMON,true,ERIE
182880167,ES,USD,NYSE,US,EVERSOURCE ENERGY,STK,Electric,Utilities,Electric-Distribution,COMMON,true,ES
6946,ESS,USD,NYSE,US,ESSEX PROPERTY TRUST INC,STK,REITS,Financial,REITS-Apartments,REIT,true,ESS
118017869,ETN,USD,NYSE,US,EATON CORP PLC,STK,Electrical Compo&amp;Equip,Industrial,Power Conv/Supply Equip,COMMON,true,ETN
6969,ETR,USD,NYSE,US,ENTERGY CORP,STK,Electric,Utilities,Electric-Integrated,COMMON,true,ETR
320106069,EVRG,USD,NASDAQ,US,EVERGY INC,STK,Electric,Utilities,Electric-Integrated,COMMON,true,EVRG
8101142,EW,USD,NYSE,US,EDWARDS LIFESCIENCES CORP,STK,Healthcare-Products,"Consumer, Non-cyclical",Medical Instruments,COMMON,true,EW
11000,EXC,USD,NASDAQ,US,EXELON CORP,STK,Electric,Utilities,Electric-Distribution,COMMON,true,EXC
470458975,EXE,USD,NASDAQ,US,EXPAND ENERGY CORP,STK,Oil&amp;Gas,Energy,Oil Comp-Explor&amp;Prodtn,COMMON,true,EXE
269082,EXPD,USD,NYSE,US,EXPEDITORS INTL WASH INC,STK,Transportation,Industrial,Transport-Services,COMMON,true,EXPD
98542021,EXPE,USD,NASDAQ,US,EXPEDIA GROUP INC,STK,Internet,Communications,E-Commerce/Services,COMMON,true,EXPE
30351205,EXR,USD,NYSE,US,EXTRA SPACE STORAGE INC,STK,REITS,Financial,REITS-Storage,REIT,true,EXR
9599491,F,USD,NYSE,US,FORD MOTOR CO,STK,Auto Manufacturers,"Consumer, Cyclical",Auto-Cars/Light Trucks,COMMON,true,F
115441080,FANG,USD,NASDAQ,US,DIAMONDBACK ENERGY INC,STK,Oil&amp;Gas,Energy,Oil Comp-Explor&amp;Prodtn,COMMON,true,FANG
269120,FAST,USD,NASDAQ,US,FASTENAL CO,STK,Distribution/Wholesale,"Consumer, Cyclical",Distribution/Wholesale,COMMON,true,FAST
7089,FCX,USD,NYSE,US,FREEPORT-MCMORAN INC,STK,Mining,Basic Materials,Metal-Copper,COMMON,true,FCX
1847145,FDS,USD,NYSE,US,FACTSET RESEARCH SYSTEMS INC,STK,Media,Communications,Multimedia,COMMON,true,FDS
5100583,FDX,USD,NYSE,US,FEDEX CORPORATION,STK,Transportation,Industrial,Transport-Services,COMMON,true,FDX
3265376,FE,USD,NYSE,US,FIRSTENERGY CORP,STK,Electric,Utilities,Electric-Integrated,COMMON,true,FE
6248713,FFIV,USD,NASDAQ,US,F5 INC,STK,Internet,Communications,Internet Infrastr Sftwr,COMMON,true,FFIV
269280,FICO,USD,NYSE,US,FAIR ISAAC CORP,STK,Software,Technology,Data Processing/Mgmt,COMMON,true,FICO
37866641,FIS,USD,NYSE,US,FIDELITY NATIONAL INFO SERV,STK,Software,Technology,Data Processing/Mgmt,COMMON,true,FIS
269315,FISV,USD,NASDAQ,US,FISERV INC,STK,Software,Technology,Data Processing/Mgmt,COMMON,true,FISV
269318,FITB,USD,NASDAQ,US,FIFTH THIRD BANCORP,STK,Banks,Financial,Super-Regional Banks-US,COMMON,true,FITB
6607708,FIX,USD,NYSE,US,COMFORT SYSTEMS USA INC,STK,Engineering&amp;Construction,Industrial,Building&amp;Construct-Misc,COMMON,true,FIX
356858007,FOX,USD,NASDAQ,US,FOX CORP - CLASS B,STK,Media,Communications,Broadcast Serv/Program,COMMON,true,FOX
356858008,FOXA,USD,NASDAQ,US,FOX CORP - CLASS A,STK,Media,Communications,Broadcast Serv/Program,COMMON,true,FOXA
535271307,FRT,USD,NYSE,US,FEDERAL REALTY INVS TRUST,STK,REITS,Financial,REITS-Shopping Centers,REIT,true,FRT
